,Title,District,District ID,price,متراژ,نوع ملک,تعداد اتاق,پارکینگ,انباری,آسانسور,سن بنا,قیمت هر متر
0,فروش آپارتمان 120 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۲۰,آپارتمان,۳,دارد,دارد,دارد,۲ سال,
1,فروش آپارتمان 120 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۲۰,آپارتمان,۳,دارد,دارد,دارد,۲ سال,
2,سهروردی آپادانا - خرمشهر. 120متـر/2خواب/فول‌امکانات,آپادانا - خرمشهر,928,"12,000,000,000",120,آپارتمان,2,دارد,دارد,دارد,نوساز,"100,000,000"
3,فروش آپارتمان 129 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۲۹,آپارتمان,۳,دارد,دارد,دارد,۱ سال,
4,35 متر زیرهم کف پلاک,آپادانا - خرمشهر,928,"1,300,000,000",35,آپارتمان,بدون اتاق,,,,21 سال,"37,143,000"
5,فروش آپارتمان 95 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۹۵,آپارتمان,۲,دارد,دارد,دارد,۲ سال,
6,فروش آپارتمان 110 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۱۰,آپارتمان,۲,دارد,دارد,دارد,۹ سال,
7,فروش آپارتمان 125 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۲۵,آپارتمان,۲,دارد,دارد,دارد,۱ سال,
8,فروش آپارتمان 122 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۲۲,آپارتمان,۳,دارد,دارد,دارد,۱ سال,
9,فروش آپارتمان 135 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۳۵,آپارتمان,۳,دارد,دارد,دارد,۱ سال,
10,آپارتمان 175 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۷۵,آپارتمان,۳,دارد,دارد,دارد,۲ سال,
11,آپادانا - مهناز، 175 متر 3 خواب، فول، 2 پارکینگ,آپادانا - خرمشهر,928,"21,500,000,000",175,آپارتمان,3,دارد,دارد,دارد,نوساز,"122,857,000"
12,فروش آپارتمان 117 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,"10,881,000,000",117,آپارتمان,2,دارد,دارد,دارد,1 سال,"93,000,000"
13,آپارتمان 250 متر در آپادانا - نوبخت,آپادانا - خرمشهر,928,قیمت توافقی,۲۵۰,آپارتمان,۴,دارد,دارد,دارد,۱ سال,
14,فروش آپارتمان 390 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۳۹۰,آپارتمان,۵ به بالا,دارد,دارد,دارد,۸ سال,
15,فروش آپارتمان 87 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,"7,000,000,000",87,آپارتمان,2,دارد,دارد,دارد,10 سال,"80,460,000"
16,فروش آپارتمان 100 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۰۰,آپارتمان,۲,دارد,دارد,دارد,۱ سال,
17,فروش آپارتمان 140 متر,آپادانا - خرمشهر,928,قیمت توافقی,۱۸۵,آپارتمان,۳,دارد,دارد,دارد,۱ سال,
18,سهروردی اپادانا3خ نوساز فول امکانات اکازیون,آپادانا - خرمشهر,928,"15,000,000,000",130,آپارتمان,3,دارد,دارد,دارد,نوساز,"115,385,000"
19,فروش آپارتمان 185 متر تکواحد در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۸۵,آپارتمان,۳,دارد,دارد,دارد,۱ سال,
20,فروش آپارتمان 135 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,"7,290,000,000",135,آپارتمان,3,دارد,دارد,دارد,19 سال,"54,000,000"
21,فروش آپارتمان 135 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۳۵,آپارتمان,۳,دارد,دارد,دارد,۱ سال,
22,فروش آپارتمان 185 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,"13,900,000,000",185,آپارتمان,3,دارد,دارد,دارد,نوساز,"75,135,000"
