District,District ID,نوع ملک,پارکینگ,آسانسور,metrazh,room,house_age,price2
آپادانا - خرمشهر,928,آپارتمان,دارد,دارد,120,2,0,12000000000.0
آپادانا - خرمشهر,928,آپارتمان,ندارد,ندارد,35,0,21,1300000000.0
آپادانا - خرمشهر,928,آپارتمان,دارد,دارد,175,3,0,21500000000.0
آپادانا - خرمشهر,928,آپارتمان,دارد,دارد,117,2,1,10881000000.0
آپادانا - خرمشهر,928,آپارتمان,دارد,دارد,87,2,10,7000000000.0
آپادانا - خرمشهر,928,آپارتمان,دارد,دارد,130,3,0,15000000000.0
آپادانا - خرمشهر,928,آپارتمان,دارد,دارد,135,3,19,7290000000.0
آپادانا - خرمشهر,928,آپارتمان,دارد,دارد,185,3,0,13900000000.0
آپادانا - خرمشهر,928,آپارتمان,دارد,دارد,101,2,7,9590000000.0
آپادانا - خرمشهر,928,آپارتمان,دارد,دارد,60,1,7,6600000000.0
آپادانا - خرمشهر,928,آپارتمان,دارد,ندارد,110,2,26,8700000000.0
آپادانا - خرمشهر,928,آپارتمان,دارد,ندارد,115,2,29,9000000000.0
آپادانا - خرمشهر,928,آپارتمان,دارد,دارد,130,3,0,15000000000.0
آپادانا - خرمشهر,928,آپارتمان,دارد,ندارد,115,2,28,9000000000.0
آپادانا - خرمشهر,928,آپارتمان,دارد,دارد,117,3,0,11700000000.0
آپادانا - خرمشهر,928,آپارتمان,دارد,دارد,106,2,20,9200000000.0
آپادانا - خرمشهر,928,آپارتمان,دارد,دارد,193,3,1,15440000000.0
آپادانا - خرمشهر,928,آپارتمان,دارد,دارد,115,2,17,9200000000.0
آپادانا - خرمشهر,928,آپارتمان,دارد,دارد,123,3,4,12054000000.0
آپادانا - خرمشهر,928,آپارتمان,دارد,دارد,135,3,16,10800000000.0
آپادانا - خرمشهر,928,آپارتمان,دارد,ندارد,145,3,1,7900000000.0
آپادانا - خرمشهر,928,آپارتمان,دارد,دارد,127,2,0,12700000000.0
آپادانا - خرمشهر,928,آپارتمان,دارد,دارد,96,2,10,10500000000.0
آپادانا - خرمشهر,928,آپارتمان,دارد,دارد,465,6,0,38000000000.0
